Región;Comunas;Nivel de planificación;Tipo de planificación;Clasificación;Denominación;Estado;Fecha de inicio de vigencia;Fecha de derogación;Fecha de último hito cumplido;Fecha de desestimiento;Modificación de Límite Urbano;Evaluación Ambiental Estratégica (EAE);Fecha de inicio de EAE;Fecha de término de EAE;Consulta Indígena;Códigos de instrumentos de origen que afecta
METROPOLITANA DE SANTIAGO;RENCA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Renca;Vigente;22-02-2022;;;;Sin información;Sin información;;;Sin información;3297, 3234
BIOBÍO;CONTULMO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Contulmo;Vigente;22-03-2022;;;;Sin información;Sin información;;;Sin información;
LOS LAGOS;MAULLIN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Maullín;Vigente;19-07-2022;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;RIO HURTADO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Río Hurtado;Vigente;26-09-2022;;;;Procede;Procede;18-04-2018;08-01-2020;No procede;
LA ARAUCANÍA;ANGOL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Angol;Vigente;14-10-2022;;;;Sin información;Sin información;;;Sin información;
LOS RÍOS;PAILLACO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Paillaco;Vigente;17-10-2022;;;;Sin información;Sin información;;;Sin información;
MAULE;MOLINA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Molina;Vigente;07-12-2022;;;;No procede;Procede;13-06-2012;13-07-2012;No procede;847, 2932, 2933, 3208, 3209, 3207
BIOBÍO;HUALPEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Hualpén;Vigente;30-01-2023;;;;No procede;No procede;;;No procede;2660
LA ARAUCANÍA;RENAICO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Renaico;Vigente;18-02-2023;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;PAPUDO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Papudo;Vigente;23-03-2023;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;PUNITAQUI;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Punitaqui;Vigente;23-05-2023;;;;Sin información;Sin información;;;Sin información;
MAULE;VILLA ALEGRE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Villa Alegre;Vigente;04-05-2024;;;;Procede;Procede;29-08-2014;23-06-2015;No procede;
LOS RÍOS;MAFIL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Máfil;Vigente;09-07-2024;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;REQUINOA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Requínoa;Vigente;25-11-2024;;;;No procede;Procede;11-03-2020;30-09-2022;No procede;
TARAPACÁ;IQUIQUE;Comunal;PRC;Instrumento de origen;Actualización Plan Regulador Comunal de Iquique;Vigente;17-02-2025;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;MONTE PATRIA;Comunal;PRC;Instrumento de origen;Actualización PRC Monte Patria.;Vigente;05-05-2025;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;LIMACHE;Comunal;PRC;Instrumento de origen;ACTUALIZACIÓN DE PLAN REGULADOR COMUNAL DE LIMACHE;Vigente;08-05-2025;;;;Procede;Procede;12-08-2015;14-01-2021;No procede;
VALPARAÍSO;EL QUISCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de El Quisco;Vigente;22-05-2025;;;;Procede;No procede;;;No procede;
METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Estación Central;Vigente;15-07-2025;;;;No procede;Procede;31-01-2020;09-12-2024;No procede;
LOS LAGOS;PUERTO VARAS;Comunal;PRC;Instrumento de origen;Actualización PRC Puerto Varas;Vigente;24-07-2025;;24-07-2025;;Procede;Procede;15-04-2015;25-07-2022;No procede;1297
LA ARAUCANÍA;NUEVA IMPERIAL;Comunal;PRC;Instrumento de origen;Actualización PRC Nueva Imperial;Vigente;26-07-2025;;26-07-2025;;Procede;Procede;01-12-2011;08-05-2018;No procede;
METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pedro Aguirre Cerda;Vigente;26-08-2025;;26-08-2025;;Procede;Procede;13-08-2021;07-07-2025;No procede;
METROPOLITANA DE SANTIAGO;LO BARNECHEA;Comunal;PRC;Instrumento de origen;PRC Lo Barnechea - Actualización;Vigente;30-10-2025;;30-10-2025;;No procede;Procede;27-09-2019;16-10-2024;No procede;
METROPOLITANA DE SANTIAGO;LO PRADO;Comunal;PRC;Instrumento de origen;Actualización Plan Regulador Comunal de Lo Prado;Vigente;17-12-2025;;;;No procede;Procede;11-11-2021;19-12-2024;No procede;
COQUIMBO;COQUIMBO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Coquimbo, incluye localidades de Tongoy y Guanaqueros;Vigente;05-01-2026;;05-01-2026;;No procede;Procede;13-04-2022;23-07-2025;No procede;
VALPARAÍSO;LOS ANDES;Comunal;PRC;Instrumento de origen;MODIFICACIÓN INTEGRAL DEL PLAN REGULADOR COMUNAL DE LOS ANDES;Vigente;22-01-2026;;;;Procede;Procede;06-04-2017;11-01-2018;No procede;
VALPARAÍSO;ISLA DE PASCUA;Comunal;PRC;Instrumento de origen;Actualización Plan Regulador Comunal de Isla de Pascua;Vigente;04-02-2026;;;;Procede;Procede;14-06-2016;11-05-2022;Procede;
LA ARAUCANÍA;TOLTEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal Toltén, localidades de Nueva Toltén y Villa Los Boldos;Vigente;29-05-2026;;;;Procede;Procede;24-10-2012;01-08-2013;No procede;
VALPARAÍSO;CARTAGENA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cartagena;Vigente;29-07-2026;;;;Procede;No procede;;;Sin información;423, 554
COQUIMBO;CANELA;Comunal;PRC;Instrumento de origen;Formulación PRC Canela, localidades Canela Baja, Canela Alta, Mincha Sur, Huentelauquen Norte y Sur.;En Desarrollo;;;11-05-2023;;Procede;Procede;02-03-2015;;No procede;
METROPOLITANA DE SANTIAGO;LA PINTANA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Pintana;En Desarrollo;;;05-02-2026;;No procede;Procede;20-01-2025;;No procede;
METROPOLITANA DE SANTIAGO;EL MONTE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de El Monte;En Desarrollo;;;20-01-2023;;No procede;Procede;20-01-2023;;No procede;
METROPOLITANA DE SANTIAGO;MARIA PINTO;Comunal;PRC;Instrumento de origen;PRC María Pinto;En Desarrollo;;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;PROVIDENCIA;Comunal;PRC;Instrumento de origen;Modificación N°9 al Plan Regulador Comunal de Providencia;En Desarrollo;;;30-06-2026;;No procede;No procede;;;No procede;
METROPOLITANA DE SANTIAGO;SAN JOSE DE MAIPO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San José de Maipo;En Desarrollo;;;20-05-2016;;No procede;Procede;20-05-2016;26-10-2018;No procede;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;NANCAGUA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal De Nancagua;En Desarrollo;;;06-06-2023;;Procede;Procede;;;No procede;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PUMANQUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pumanque;En Desarrollo;;;26-03-2019;;Procede;Procede;;;No procede;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;MARCHIHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Marchigüe;En Desarrollo;;;11-02-2019;;Procede;Procede;;;No procede;
MAULE;HUALAÑE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Hualañé;En Desarrollo;;;13-06-2012;;Procede;Procede;13-06-2012;;No procede;
MAULE;VICHUQUEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Vichuquen;En Desarrollo;;;19-03-2019;;Procede;Procede;11-06-2012;;No procede;
MAULE;PELARCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Pelarco;En Desarrollo;;;11-03-2025;;Procede;Procede;11-01-2021;03-12-2024;No procede;
MAULE;CONSTITUCION;Comunal;PRC;Instrumento de origen;Actualización Plan Regulador Comunal de Constitución;En Desarrollo;;;24-01-2025;;No procede;Procede;24-01-2025;;No procede;864
MAULE;SAN RAFAEL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de San Rafael;En Desarrollo;;;17-02-2025;;Procede;Procede;13-01-2021;05-02-2025;No procede;
BIOBÍO;SAN ROSENDO;Comunal;PRC;Instrumento de origen;PRC San Rosendo;En Desarrollo;;;07-05-2024;;Procede;Procede;;;Procede;
BIOBÍO;QUILACO;Comunal;PRC;Instrumento de origen;PRC Quilaco;En Desarrollo;;;22-06-2023;;Procede;Procede;;;Procede;
LA ARAUCANÍA;PUREN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Purén;En Desarrollo;;;18-10-2023;;No procede;No procede;;;No procede;
LA ARAUCANÍA;CUNCO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cunco;En Desarrollo;;;28-01-2013;;No procede;No procede;;;No procede;
LA ARAUCANÍA;GALVARINO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Galvarino;En Desarrollo;;;30-07-2013;;No procede;No procede;;;No procede;
LA ARAUCANÍA;LUMACO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Lumaco;En Desarrollo;;;17-12-2021;;No procede;No procede;;;No procede;
LA ARAUCANÍA;CURARREHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Curarrehue;En Desarrollo;;;28-03-2022;;Procede;Procede;;;Procede;
LOS RÍOS;MARIQUINA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Mariquina;En Desarrollo;;;23-11-2018;;Procede;Procede;29-10-2018;;Procede;
LOS LAGOS;CHAITEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal Chaiten;En Desarrollo;;;25-04-2023;;Procede;Procede;17-12-2021;;No procede;
LOS LAGOS;CURACO DE VELEZ;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Curaco de Velez;En Desarrollo;;;06-12-2024;;Procede;Procede;18-01-2018;;No procede;
LOS LAGOS;FUTALEUFU;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Futaleufu;En Desarrollo;;;08-11-2023;;Procede;Procede;16-11-2021;;Procede;
LOS LAGOS;COCHAMO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cochamo;En Desarrollo;;;30-06-2020;;Procede;Procede;19-11-2014;;No procede;
LOS LAGOS;QUEMCHI;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Quemchi;En Desarrollo;;;30-06-2020;;Procede;Procede;26-03-2014;;No procede;
LOS LAGOS;HUALAIHUE;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal Hualaihue;En Desarrollo;;;14-12-2022;;Procede;Procede;09-12-2021;;Procede;
AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;O HIGGINS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de O'Higgins;En Desarrollo;;;23-06-2025;;Procede;Procede;;;Procede;
AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;CHILE CHICO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Chile Chico;En Desarrollo;;;01-07-2025;;Procede;Procede;;;No procede;
AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;GUAITECAS;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Guaitecas;En Desarrollo;;;24-10-2013;;Procede;Procede;;;No procede;
MAGALLANES Y ANTÁRTICA CHILENA;PRIMAVERA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Primavera;En Desarrollo;;;21-09-2018;;Procede;Procede;25-01-2017;19-04-2018;Procede;
MAGALLANES Y ANTÁRTICA CHILENA;TIMAUKEL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Timaukel;En Desarrollo;;;14-05-2024;;Procede;Procede;21-07-2021;25-01-2024;Procede;
LOS RÍOS;FUTRONO;Comunal;PRC;Instrumento de origen;APRUEBA ANTEPROYECTO DEL PLANO OFICIAL Y ORDENANZA LOCAL DE URBANIZACION DE FUTRONO;Derogado;04-02-1949;;;;Sin información;Sin información;;;Sin información;2543
METROPOLITANA DE SANTIAGO;SAN MIGUEL;Comunal;PRC;Instrumento de origen;PRC de San Miguel - vigente para PAC;Derogado;12-07-1951;;;;Sin información;Sin información;;;Sin información;1623, 2103, 1912, 1822
LOS LAGOS;ANCUD;Comunal;PRC;Instrumento de origen;APRUEBA EL PLAN REGULADOR Y LA ORDENANZA LOCAL DE ANCUD;Derogado;05-06-1961;;;;Sin información;Sin información;;;Sin información;1196, 1189
COQUIMBO;LA SERENA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal La Serena;Derogado;13-10-1964;;;;Sin información;Sin información;;;Sin información;163, 164, 165, 161
METROPOLITANA DE SANTIAGO;MAIPU;Comunal;PRC;Instrumento de origen;Promulga PRC de Maipú y contiene a la actual comuna de Cerrillos;Derogado;30-10-1965;;;;Sin información;Sin información;;;Sin información;1861, 2259
LA ARAUCANÍA;VICTORIA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Victoria;Derogado;22-12-1965;;;;Sin información;Sin información;;;Sin información;1155, 1154
VALPARAÍSO;CABILDO;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Cabildo;Derogado;05-01-1966;;;;Sin información;Sin información;;;Sin información;
LA ARAUCANÍA;PITRUFQUEN;Comunal;PRC;Instrumento de origen;APRUEBA PLANO REGULADOR Y ORDENANZA LOCAL DE PITRUFQUÉN;Derogado;10-01-1966;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;MAIPU;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Maipú;Derogado;30-10-1966;;;;Sin información;Sin información;;;Sin información;1808, 1871, 2148, 1697, 2067, 2092, 2061, 2163, 1702, 2059, 2114, 1998, 2025, 1977, 1909, 1833, 1811, 1706, 2047, 2104, 2068, 1629, 1773, 1983, 1693, 2029, 1686, 1876, 2035, 2016, 1749, 2033
METROPOLITANA DE SANTIAGO;ÑUÑOA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Ñuñoa;Derogado;23-06-1967;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;MACUL;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Ñuñoa;Derogado;23-06-1967;;;;Sin información;Sin información;;;Sin información;1696, 2141, 1747, 2125, 2200, 2182
METROPOLITANA DE SANTIAGO;PEÑALOLEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Ñuñoa;Derogado;23-06-1967;;;;Sin información;Sin información;;;Sin información;2042
METROPOLITANA DE SANTIAGO;LA FLORIDA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de La Florida;Derogado;20-09-1968;;;;Sin información;Sin información;;;Sin información;2225, 2183, 2269, 2188, 2275, 1724, 2203, 2195, 2276, 2202, 2274, 1990
VALPARAÍSO;PAPUDO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE PAPUDO;Derogado;08-03-1969;;;;Sin información;Sin información;;;Sin información;385
VALPARAÍSO;EL QUISCO;Comunal;PRC;Instrumento de origen;PLAN REGULADOR DE LA COMUNA DE EL QUISCO - SECCIONAL ENTREPLAYAS;Derogado;13-06-1969;;;;Sin información;Sin información;;;Sin información;425
LA ARAUCANÍA;PITRUFQUEN;Comunal;PRC;Instrumento de origen;PROMULGA PLAN REGULADOR COMUNA DE PITRUFQUEN;Derogado;12-09-1969;;;;Sin información;Sin información;;;Sin información;
MAULE;SAN CLEMENTE;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR QUE INDICA;Derogado;09-04-1970;;;;Sin información;Sin información;;;Sin información;
AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;AYSEN;Comunal;PRC;Instrumento de origen;DEJA SIN EFECTO DECRETO QUE MENCIONA Y DEROGA DECRETO QUE SEÑALA APRUEBA PLANO REGULADOR Y LIMITE URBANO QUE INDICA;Derogado;22-02-1971;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;PUDAHUEL;Comunal;PRC;Instrumento de origen;APRUEBA PLANO REGULADOR, COMUNA DE LAS BARRANCAS;Derogado;05-07-1971;;;;Sin información;Sin información;;;Sin información;1711, 2062, 1991, 1873
ARICA Y PARINACOTA;ARICA;Comunal;PRC;Instrumento de origen;APRUEBA PLANO REGULADOR ORDENANZA LOCAL Y FIJA LIMITES URBANOS DE ARICA;Derogado;12-08-1971;;;;Sin información;Sin información;;;Sin información;2473, 2472, 2474, 2475, 2483, 2481, 2486, 2487, 2488, 2489, 2490, 2491, 2492, 2493, 2496, 2497, 2498, 2499, 2500, 2501, 2502, 2503, 2505, 2506, 2508, 2507, 2509, 2510, 2511, 2512, 2514, 2515, 2516, 2517, 2519, 2521, 2520, 2518, 2522
LOS LAGOS;CALBUCO;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR DE LA CIUDAD DE CALBUCO Y SU ORDENANZA LOCAL DE CONSTRUCCION Y URBANIZACION;Derogado;30-04-1974;;;;Sin información;Sin información;;;Sin información;1192
METROPOLITANA DE SANTIAGO;PROVIDENCIA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Providencia;Derogado;24-01-1976;;;;Sin información;Sin información;;;Sin información;1603, 1946, 1851, 1938, 1943, 1741, 1628, 1783, 2054, 2078, 1733, 2079, 1780, 1963, 1927, 2139, 1930, 1929, 1877
METROPOLITANA DE SANTIAGO;SAN BERNARDO;Comunal;PRC;Instrumento de origen;"APRUEBA PLAN REGULADOR COMUNAL DE SAN BERNARDO Y SU CORRESPONDIENTE ORDENANZA LOCAL, FIJA NUEVOS LIMITES URBANOS Y APRUEBA PLANOS SECCIONALES ""LO MORENO"" Y ""ZONA INDUSTRIAL""";Derogado;06-10-1976;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;SAN BERNARDO;Comunal;PRC;Instrumento de origen;"APRUEBA PLAN REGULADOR COMUNAL DE SAN BERNARDO Y SU CORRESPONDIENTE ORDENANZA LOCAL, FIJA NUEVOS LIMITES URBANOS Y APRUEBA PLANOS SECCIONALES ""LO MORENO"" Y ""ZONA INDUSTRIAL""";Derogado;06-10-1976;;;;Sin información;Sin información;;;Sin información;
METROPOLITANA DE SANTIAGO;SAN BERNARDO;Comunal;PRC;Instrumento de origen;PRC de San Bernardo;Derogado;06-10-1976;;;;Sin información;Sin información;;;Sin información;2109, 2265
LIBERTADOR GENERAL BERNARDO O'HIGGINS;RENGO;Comunal;PRC;Instrumento de origen;"APRUEBA PLAN REGULADOR DE RENGO, PARA LAS LOCALIDADES DE RENGO Y ROSARIO Y SUS RESPECTIVAS ORDENANZAS LOCALES DE CONSTRUCCIONES Y URBANIZACION; FIJA LIMITES URBANOS Y DESTINO DE USO DE SUELO";Derogado;14-12-1978;;;;Sin información;Sin información;;;Sin información;696
COQUIMBO;COQUIMBO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR DEL BALNEARIO DE GUANAQUEROS Y SU CORRESPONDIENTE ORDENANZA LOCAL DE CONSTRUCCIONES Y URBANIZACION, FIJA LIMITES URBANOS Y SEÑALA DESTINO DE USO DE SUELO;Derogado;27-12-1978;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;VIÑA DEL MAR;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE VIÑA DEL MAR;Derogado;17-12-1980;;;;Sin información;Sin información;;;Sin información;318, 319, 320, 321, 322, 324, 325, 326, 327, 329, 331, 332, 333, 334, 335, 336, 337, 338
LIBERTADOR GENERAL BERNARDO O'HIGGINS;MACHALI;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE MACHALÍ;Derogado;27-12-1980;;;;Sin información;Sin información;;;Sin información;622, 625
METROPOLITANA DE SANTIAGO;LA REINA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR DE LA REINA;Derogado;26-10-1981;;;;Sin información;Sin información;;;Sin información;2065, 2064, 2073
LOS RÍOS;LA UNION;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE LA UNION;Derogado;26-06-1982;;;;Sin información;Sin información;;;Sin información;2547, 2548, 2549
BIOBÍO;HUALPEN;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Talcahuano;Derogado;06-07-1982;;;;Sin información;Sin información;;;Sin información;926
BIOBÍO;TALCAHUANO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE TALCAHUANO;Derogado;06-07-1982;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;PICHILEMU;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE PICHILEMU;Derogado;17-11-1982;;;;Sin información;Sin información;;;Sin información;660, 661
METROPOLITANA DE SANTIAGO;CONCHALI;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CONCHALÍ;Derogado;02-07-1983;;;;Sin información;Sin información;;;Sin información;1882
ÑUBLE;BULNES;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE BULNES;Derogado;05-09-1983;;;;Sin información;Sin información;;;Sin información;
LA ARAUCANÍA;TEMUCO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE TEMUCO;Derogado;08-09-1983;;;;Sin información;Sin información;;;Sin información;1053, 1045, 1046, 1061, 1044, 1062, 1043, 1051, 1047, 1050, 1056, 1049, 1052, 1048, 1060
METROPOLITANA DE SANTIAGO;LA CISTERNA;Comunal;PRC;Instrumento de origen;PRC de La Cisterna;Derogado;18-10-1983;;;;Sin información;Sin información;;;Sin información;1812
LOS LAGOS;FRUTILLAR;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE FRUTILLAR;Derogado;05-11-1983;;;;Sin información;Sin información;;;Sin información;1223, 1224, 1225, 1227, 1194
VALPARAÍSO;JUAN FERNANDEZ;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE JUAN FERNANDEZ - CENTRO POBLADO DE ROBINSON CRUSOE;Derogado;14-11-1983;;;;Sin información;Sin información;;;Sin información;363
COQUIMBO;OVALLE;Comunal;PRC;Instrumento de origen;ASIGNA NUEVAS NORMAS URBANÍSTICAS A LAS ÁREAS APLICABLES;Derogado;22-02-1984;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;LOS ANDES;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE LOS ANDES;Derogado;17-03-1984;;;;Sin información;Sin información;;;Sin información;368, 369
VALPARAÍSO;RINCONADA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE RINCONADA;Derogado;24-05-1984;;;;Sin información;Sin información;;;Sin información;
COQUIMBO;COQUIMBO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE COQUIMBO;Derogado;26-05-1984;;;;Sin información;Sin información;;;Sin información;189, 190, 191, 194, 195
COQUIMBO;ILLAPEL;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL DE ILLAPEL;Derogado;16-08-1984;;;;Sin información;Sin información;;;Sin información;209, 210
VALPARAÍSO;SAN ANTONIO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE SAN ANTONIO;Derogado;27-08-1984;;;;Sin información;Sin información;;;Sin información;405, 406, 407, 408
LIBERTADOR GENERAL BERNARDO O'HIGGINS;NAVIDAD;Comunal;PRC;Instrumento de origen;DS 121 Aprueba PRC Navidad y Localidad de boca de rapel;Derogado;24-09-1984;;;;Sin información;Sin información;;;Sin información;
ANTOFAGASTA;MEJILLONES;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Mejillones;Derogado;09-10-1984;;;;Sin información;Sin información;;;Sin información;93
VALPARAÍSO;CALLE LARGA;Comunal;PRC;Instrumento de origen;PRUEBA PLAN REGULADOR COMUNAL DE CALLE LARGA;Derogado;02-11-1984;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;ZAPALLAR;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL DE ZAPALLAR;Derogado;06-12-1984;;;;Sin información;Sin información;;;Sin información;388, 389
VALPARAÍSO;EL TABO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE EL TABLO;Derogado;12-12-1984;;;;Sin información;Sin información;;;Sin información;430
VALPARAÍSO;ALGARROBO;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE SAN ANTONIO;Derogado;19-12-1984;;;;Sin información;Sin información;;;Sin información;414
METROPOLITANA DE SANTIAGO;RENCA;Comunal;PRC;Instrumento de origen;Plan Regulador Comunal de Renca;Derogado;12-02-1985;;;;Sin información;Sin información;;;Sin información;1640, 2056, 1632, 1819, 1775, 1717, 1723
VALPARAÍSO;LLAILLAY;Comunal;PRC;Instrumento de origen;PLAN REGULADOR COMUNAL DE LLAYLLAY;Derogado;16-02-1985;;;;Sin información;Sin información;;;Sin información;
VALPARAÍSO;SAN FELIPE;Comunal;PRC;Instrumento de origen;APRUEBA NUEVO PLAN REGULADOR COMUNAL DE SAN FELIPE;Derogado;06-03-1985;;;;Sin información;Sin información;;;Sin información;450, 451, 452, 453
LIBERTADOR GENERAL BERNARDO O'HIGGINS;GRANEROS;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE GRANEROS;Derogado;31-08-1985;;;;Sin información;Sin información;;;Sin información;
ATACAMA;CALDERA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE CALDERA;Derogado;11-08-1986;;;;Sin información;Sin información;;;Sin información;126, 120, 122, 124, 125, 123, 127, 128
ANTOFAGASTA;CALAMA;Comunal;PRC;Instrumento de origen;Modifica Plan Regulador Comunal de Calama;Derogado;20-11-1986;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;SAN VICENTE;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE SAN VICENTE;Derogado;12-12-1986;;;;Sin información;Sin información;;;Sin información;725
COQUIMBO;VICUÑA;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE VICUÑA;Derogado;26-02-1987;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;NAVIDAD;Comunal;PRC;Instrumento de origen;APRUEBA PLANES REGULADORES DE RAPEL, LAS BRISAS, MATANZAS, COMUNA DE NAVIDAD;Derogado;27-03-1987;;;;Sin información;Sin información;;;Sin información;
LIBERTADOR GENERAL BERNARDO O'HIGGINS;MOSTAZAL;Comunal;PRC;Instrumento de origen;APRUEBA PLAN REGULADOR COMUNAL DE MOSTAZAL, CENTROS POBLADOS DE SAN FRANCISCO DE MOSTAZAL Y LA PUNTA;Derogado;21-04-1987;;;;Sin información;Sin información;;;Sin información;
